ProductId,ProductName,PriceTableName,ListPrice,SalePrice,DESCR_TIPO_FAST,CODPROD,VLRUNIT
1405,ACP903 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1497,1497,Distribuição,1405,14.97
1406,ACP906 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1057,1057,Distribuição,1406,10.57
1408,AP8528 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3484,3484,Distribuição,1408,34.84
1409,AP9835 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),15221,15221,Distribuição,1409,152.21
1410,AR3147 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3229,3229,Distribuição,1410,32.29
1411,AR3589 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1694,1694,Distribuição,1411,16.94
1412,AR6089 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2202,2202,Distribuição,1412,22.02
1413,AR9620 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1484,1484,Distribuição,1413,14.84
1414,AR9621 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1822,1822,Distribuição,1414,18.22
1415,ARL1034 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),3526,3526,Distribuição,1415,35.26
1416,ARL1035 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),4815,4815,Distribuição,1416,48.15
1417,ARL2203 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2597,2597,Distribuição,1417,25.97
1419,ARL4150 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),933,933,Distribuição,1419,9.33
1420,ARL4151 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),1643,1643,Distribuição,1420,16.43
1421,ARL4415 - FILTRO,TABELA PADRÃO SITE (NUTAB 1481 - TIPO PREÇO Distribuição),2068,2068,Distribuição,1421,20.68
